seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	762666	762892	227	*	X00001	643837	762971	794826	31856	+	78	upstream	78	LINC01128
chr1	762666	762892	227	*	X00001	79854	761586	762902	1317	-	0	inside	9	LINC00115
chr1	894549	894874	326	*	X00002	26155	879583	894679	15097	-	0	overlapStart	0	NOC2L
chr1	894549	894874	326	*	X00002	339451	895967	901099	5133	+	1092	upstream	1092	KLHL17
chr1	1051480	1051493	14	*	X00006	54991	1017198	1051736	34539	-	0	inside	242	C1orf159
chr1	1051716	1051762	47	*	X00007	54991	1017198	1051736	34539	-	0	overlapStart	0	C1orf159
chr1	1051802	1051855	54	*	X00008	54991	1017198	1051736	34539	-	65	upstream	65	C1orf159
chr1	1141785	1141796	12	*	X00009	8784	1138888	1142089	3202	-	0	inside	292	TNFRSF18
chr1	1141817	1141990	174	*	X00010	8784	1138888	1142089	3202	-	0	inside	98	TNFRSF18
chr1	1167214	1167457	244	*	X00011	126792	1167629	1170420	2792	+	171	upstream	171	B3GALT6
chr1	1167214	1167457	244	*	X00011	51150	1152288	1167447	15160	-	0	overlapStart	0	SDF4
chr1	1167865	1168111	247	*	X00012	126792	1167629	1170420	2792	+	0	inside	235	B3GALT6
chr1	1167865	1168111	247	*	X00012	51150	1152288	1167447	15160	-	417	upstream	417	SDF4
chr1	1209175	1209228	54	*	X00013	118424	1189292	1209234	19943	-	0	inside	5	UBE2J2
chr1	1243682	1243815	134	*	X00014	126789	1243994	1247057	3064	+	178	upstream	178	PUSL1
chr1	1244010	1244153	144	*	X00015	126789	1243994	1247057	3064	+	0	inside	15	PUSL1
chr1	1310439	1310637	199	*	X00016	54998	1309110	1310818	1709	-	0	inside	180	AURKAIP1
chr1	1310904	1311003	100	*	X00017	54998	1309110	1310818	1709	-	85	upstream	85	AURKAIP1
chr1	1342495	1342817	323	*	X00018	55052	1337276	1342693	5418	-	0	overlapStart	0	MRPL20
chr1	1370752	1371002	251	*	X00019	64856	1370903	1378262	7360	+	0	overlapStart	0	VWA1
chr1	1447457	1447475	19	*	X00020	55210	1447523	1470067	22545	+	47	upstream	47	ATAD3A
chr1	1510248	1510398	151	*	X00021	29101	1477053	1510262	33210	-	0	overlapStart	0	SSU72
chr1	1565844	1565845	2	*	X00027	8510	1567560	1570030	2471	+	1714	upstream	1714	MMP23B
chr1	1655747	1655857	111	*	X00028	728642	1634170	1655791	21622	-	0	overlapStart	0	CDK11A
chr1	1655747	1655857	111	*	X00028	984	1571100	1655775	84676	-	0	overlapStart	0	CDK11B
chr1	1655889	1655926	38	*	X00029	728642	1634170	1655791	21622	-	97	upstream	97	CDK11A
chr1	1655889	1655926	38	*	X00029	984	1571100	1655775	84676	-	113	upstream	113	CDK11B
chr1	1822556	1822752	197	*	X00030	2782	1716725	1822526	105802	-	29	upstream	29	GNB1
chr1	1850720	1850809	90	*	X00031	339456	1849029	1850740	1712	-	0	overlapStart	0	TMEM52
chr1	1851018	1851079	62	*	X00032	339456	1849029	1850740	1712	-	277	upstream	277	TMEM52
chr1	1935225	1935235	11	*	X00033	85452	1884752	1935276	50525	-	0	inside	40	CFAP74
chr1	3712899	3712929	31	*	X00037	57470	3696784	3713068	16285	-	0	inside	138	LRRC47
chr1	3712990	3713029	40	*	X00038	57470	3696784	3713068	16285	-	0	inside	38	LRRC47
chr1	3713077	3713250	174	*	X00039	57470	3696784	3713068	16285	-	8	upstream	8	LRRC47
chr1	3773670	3773723	54	*	X00040	1677	3773845	3801993	28149	+	121	upstream	121	DFFB
chr1	3773670	3773723	54	*	X00040	9731	3728645	3773797	45153	-	0	inside	73	CEP104
chr1	3816677	3816812	136	*	X00041	100133612	3816968	3833879	16912	+	155	upstream	155	LINC01134
chr1	3816677	3816812	136	*	X00041	339448	3805697	3816857	11161	-	0	inside	44	C1orf174
chr1	3817362	3817396	35	*	X00042	339448	3805697	3816857	11161	-	504	upstream	504	C1orf174
chr1	3817414	3817428	15	*	X00043	339448	3805697	3816857	11161	-	556	upstream	556	C1orf174
chr1	6052991	6053012	22	*	X00044	261734	5922870	6052533	129664	-	457	upstream	457	NPHP4
chr1	6259485	6259658	174	*	X00045	6146	6245080	6259679	14600	-	0	inside	20	RPL22
chr1	6259831	6259930	100	*	X00046	6146	6245080	6259679	14600	-	151	upstream	151	RPL22
chr1	6259956	6259973	18	*	X00047	6146	6245080	6259679	14600	-	276	upstream	276	RPL22
chr1	6259986	6259999	14	*	X00048	6146	6245080	6259679	14600	-	306	upstream	306	RPL22
chr1	6295821	6295857	37	*	X00051	23463	6281253	6296044	14792	-	0	inside	186	ICMT
chr1	6295872	6295888	17	*	X00052	23463	6281253	6296044	14792	-	0	inside	155	ICMT
